usrec,year,quarter,usrec2
1,1854.0,4.0,-1.0
0,1855.0,1.0,0.0
0,1855.0,2.0,0.0
0,1855.0,3.0,0.0
0,1855.0,4.0,0.0
0,1856.0,1.0,0.0
0,1856.0,2.0,0.0
0,1856.0,3.0,0.0
0,1856.0,4.0,0.0
0,1857.0,1.0,0.0
0,1857.0,2.0,0.0
1,1857.0,3.0,-1.0
1,1857.0,4.0,-1.0
1,1858.0,1.0,-1.0
1,1858.0,2.0,-1.0
1,1858.0,3.0,-1.0
1,1858.0,4.0,-1.0
0,1859.0,1.0,0.0
0,1859.0,2.0,0.0
0,1859.0,3.0,0.0
0,1859.0,4.0,0.0
0,1860.0,1.0,0.0
0,1860.0,2.0,0.0
0,1860.0,3.0,0.0
1,1860.0,4.0,-1.0
1,1861.0,1.0,-1.0
1,1861.0,2.0,-1.0
0,1861.0,3.0,0.0
0,1861.0,4.0,0.0
0,1862.0,1.0,0.0
0,1862.0,2.0,0.0
0,1862.0,3.0,0.0
0,1862.0,4.0,0.0
0,1863.0,1.0,0.0
0,1863.0,2.0,0.0
0,1863.0,3.0,0.0
0,1863.0,4.0,0.0
0,1864.0,1.0,0.0
0,1864.0,2.0,0.0
0,1864.0,3.0,0.0
0,1864.0,4.0,0.0
0,1865.0,1.0,0.0
1,1865.0,2.0,-1.0
1,1865.0,3.0,-1.0
1,1865.0,4.0,-1.0
1,1866.0,1.0,-1.0
1,1866.0,2.0,-1.0
1,1866.0,3.0,-1.0
1,1866.0,4.0,-1.0
1,1867.0,1.0,-1.0
1,1867.0,2.0,-1.0
1,1867.0,3.0,-1.0
1,1867.0,4.0,-1.0
0,1868.0,1.0,0.0
0,1868.0,2.0,0.0
0,1868.0,3.0,0.0
0,1868.0,4.0,0.0
0,1869.0,1.0,0.0
0,1869.0,2.0,0.0
1,1869.0,3.0,-1.0
1,1869.0,4.0,-1.0
1,1870.0,1.0,-1.0
1,1870.0,2.0,-1.0
1,1870.0,3.0,-1.0
1,1870.0,4.0,-1.0
0,1871.0,1.0,0.0
0,1871.0,2.0,0.0
0,1871.0,3.0,0.0
0,1871.0,4.0,0.0
0,1872.0,1.0,0.0
0,1872.0,2.0,0.0
0,1872.0,3.0,0.0
0,1872.0,4.0,0.0
0,1873.0,1.0,0.0
0,1873.0,2.0,0.0
0,1873.0,3.0,0.0
1,1873.0,4.0,-1.0
1,1874.0,1.0,-1.0
1,1874.0,2.0,-1.0
1,1874.0,3.0,-1.0
1,1874.0,4.0,-1.0
1,1875.0,1.0,-1.0
1,1875.0,2.0,-1.0
1,1875.0,3.0,-1.0
1,1875.0,4.0,-1.0
1,1876.0,1.0,-1.0
1,1876.0,2.0,-1.0
1,1876.0,3.0,-1.0
1,1876.0,4.0,-1.0
1,1877.0,1.0,-1.0
1,1877.0,2.0,-1.0
1,1877.0,3.0,-1.0
1,1877.0,4.0,-1.0
1,1878.0,1.0,-1.0
1,1878.0,2.0,-1.0
1,1878.0,3.0,-1.0
1,1878.0,4.0,-1.0
1,1879.0,1.0,-1.0
0,1879.0,2.0,0.0
0,1879.0,3.0,0.0
0,1879.0,4.0,0.0
0,1880.0,1.0,0.0
0,1880.0,2.0,0.0
0,1880.0,3.0,0.0
0,1880.0,4.0,0.0
0,1881.0,1.0,0.0
0,1881.0,2.0,0.0
0,1881.0,3.0,0.0
0,1881.0,4.0,0.0
0,1882.0,1.0,0.0
1,1882.0,2.0,-1.0
1,1882.0,3.0,-1.0
1,1882.0,4.0,-1.0
1,1883.0,1.0,-1.0
1,1883.0,2.0,-1.0
1,1883.0,3.0,-1.0
1,1883.0,4.0,-1.0
1,1884.0,1.0,-1.0
1,1884.0,2.0,-1.0
1,1884.0,3.0,-1.0
1,1884.0,4.0,-1.0
1,1885.0,1.0,-1.0
1,1885.0,2.0,-1.0
0,1885.0,3.0,0.0
0,1885.0,4.0,0.0
0,1886.0,1.0,0.0
0,1886.0,2.0,0.0
0,1886.0,3.0,0.0
0,1886.0,4.0,0.0
0,1887.0,1.0,0.0
1,1887.0,2.0,-1.0
1,1887.0,3.0,-1.0
1,1887.0,4.0,-1.0
1,1888.0,1.0,-1.0
1,1888.0,2.0,-1.0
0,1888.0,3.0,0.0
0,1888.0,4.0,0.0
0,1889.0,1.0,0.0
0,1889.0,2.0,0.0
0,1889.0,3.0,0.0
0,1889.0,4.0,0.0
0,1890.0,1.0,0.0
0,1890.0,2.0,0.0
1,1890.0,3.0,-1.0
1,1890.0,4.0,-1.0
1,1891.0,1.0,-1.0
1,1891.0,2.0,-1.0
0,1891.0,3.0,0.0
0,1891.0,4.0,0.0
0,1892.0,1.0,0.0
0,1892.0,2.0,0.0
0,1892.0,3.0,0.0
0,1892.0,4.0,0.0
1,1893.0,1.0,-1.0
1,1893.0,2.0,-1.0
1,1893.0,3.0,-1.0
1,1893.0,4.0,-1.0
1,1894.0,1.0,-1.0
1,1894.0,2.0,-1.0
0,1894.0,3.0,0.0
0,1894.0,4.0,0.0
0,1895.0,1.0,0.0
0,1895.0,2.0,0.0
0,1895.0,3.0,0.0
0,1895.0,4.0,0.0
1,1896.0,1.0,-1.0
1,1896.0,2.0,-1.0
1,1896.0,3.0,-1.0
1,1896.0,4.0,-1.0
1,1897.0,1.0,-1.0
1,1897.0,2.0,-1.0
0,1897.0,3.0,0.0
0,1897.0,4.0,0.0
0,1898.0,1.0,0.0
0,1898.0,2.0,0.0
0,1898.0,3.0,0.0
0,1898.0,4.0,0.0
0,1899.0,1.0,0.0
0,1899.0,2.0,0.0
1,1899.0,3.0,-1.0
1,1899.0,4.0,-1.0
1,1900.0,1.0,-1.0
1,1900.0,2.0,-1.0
1,1900.0,3.0,-1.0
1,1900.0,4.0,-1.0
0,1901.0,1.0,0.0
0,1901.0,2.0,0.0
0,1901.0,3.0,0.0
0,1901.0,4.0,0.0
0,1902.0,1.0,0.0
0,1902.0,2.0,0.0
0,1902.0,3.0,0.0
1,1902.0,4.0,-1.0
1,1903.0,1.0,-1.0
1,1903.0,2.0,-1.0
1,1903.0,3.0,-1.0
1,1903.0,4.0,-1.0
1,1904.0,1.0,-1.0
1,1904.0,2.0,-1.0
1,1904.0,3.0,-1.0
0,1904.0,4.0,0.0
0,1905.0,1.0,0.0
0,1905.0,2.0,0.0
0,1905.0,3.0,0.0
0,1905.0,4.0,0.0
0,1906.0,1.0,0.0
0,1906.0,2.0,0.0
0,1906.0,3.0,0.0
0,1906.0,4.0,0.0
0,1907.0,1.0,0.0
1,1907.0,2.0,-1.0
1,1907.0,3.0,-1.0
1,1907.0,4.0,-1.0
1,1908.0,1.0,-1.0
1,1908.0,2.0,-1.0
0,1908.0,3.0,0.0
0,1908.0,4.0,0.0
0,1909.0,1.0,0.0
0,1909.0,2.0,0.0
0,1909.0,3.0,0.0
0,1909.0,4.0,0.0
1,1910.0,1.0,-1.0
1,1910.0,2.0,-1.0
1,1910.0,3.0,-1.0
1,1910.0,4.0,-1.0
1,1911.0,1.0,-1.0
1,1911.0,2.0,-1.0
1,1911.0,3.0,-1.0
1,1911.0,4.0,-1.0
1,1912.0,1.0,-1.0
0,1912.0,2.0,0.0
0,1912.0,3.0,0.0
0,1912.0,4.0,0.0
1,1913.0,1.0,-1.0
1,1913.0,2.0,-1.0
1,1913.0,3.0,-1.0
1,1913.0,4.0,-1.0
1,1914.0,1.0,-1.0
1,1914.0,2.0,-1.0
1,1914.0,3.0,-1.0
1,1914.0,4.0,-1.0
0,1915.0,1.0,0.0
0,1915.0,2.0,0.0
0,1915.0,3.0,0.0
0,1915.0,4.0,0.0
0,1916.0,1.0,0.0
0,1916.0,2.0,0.0
0,1916.0,3.0,0.0
0,1916.0,4.0,0.0
0,1917.0,1.0,0.0
0,1917.0,2.0,0.0
0,1917.0,3.0,0.0
0,1917.0,4.0,0.0
0,1918.0,1.0,0.0
0,1918.0,2.0,0.0
1,1918.0,3.0,-1.0
1,1918.0,4.0,-1.0
1,1919.0,1.0,-1.0
0,1919.0,2.0,0.0
0,1919.0,3.0,0.0
0,1919.0,4.0,0.0
1,1920.0,1.0,-1.0
1,1920.0,2.0,-1.0
1,1920.0,3.0,-1.0
1,1920.0,4.0,-1.0
1,1921.0,1.0,-1.0
1,1921.0,2.0,-1.0
1,1921.0,3.0,-1.0
0,1921.0,4.0,0.0
0,1922.0,1.0,0.0
0,1922.0,2.0,0.0
0,1922.0,3.0,0.0
0,1922.0,4.0,0.0
0,1923.0,1.0,0.0
1,1923.0,2.0,-1.0
1,1923.0,3.0,-1.0
1,1923.0,4.0,-1.0
1,1924.0,1.0,-1.0
1,1924.0,2.0,-1.0
1,1924.0,3.0,-1.0
0,1924.0,4.0,0.0
0,1925.0,1.0,0.0
0,1925.0,2.0,0.0
0,1925.0,3.0,0.0
0,1925.0,4.0,0.0
0,1926.0,1.0,0.0
0,1926.0,2.0,0.0
0,1926.0,3.0,0.0
1,1926.0,4.0,-1.0
1,1927.0,1.0,-1.0
1,1927.0,2.0,-1.0
1,1927.0,3.0,-1.0
1,1927.0,4.0,-1.0
0,1928.0,1.0,0.0
0,1928.0,2.0,0.0
0,1928.0,3.0,0.0
0,1928.0,4.0,0.0
0,1929.0,1.0,0.0
0,1929.0,2.0,0.0
1,1929.0,3.0,-1.0
1,1929.0,4.0,-1.0
1,1930.0,1.0,-1.0
1,1930.0,2.0,-1.0
1,1930.0,3.0,-1.0
1,1930.0,4.0,-1.0
1,1931.0,1.0,-1.0
1,1931.0,2.0,-1.0
1,1931.0,3.0,-1.0
1,1931.0,4.0,-1.0
1,1932.0,1.0,-1.0
1,1932.0,2.0,-1.0
1,1932.0,3.0,-1.0
1,1932.0,4.0,-1.0
1,1933.0,1.0,-1.0
0,1933.0,2.0,0.0
0,1933.0,3.0,0.0
0,1933.0,4.0,0.0
0,1934.0,1.0,0.0
0,1934.0,2.0,0.0
0,1934.0,3.0,0.0
0,1934.0,4.0,0.0
0,1935.0,1.0,0.0
0,1935.0,2.0,0.0
0,1935.0,3.0,0.0
0,1935.0,4.0,0.0
0,1936.0,1.0,0.0
0,1936.0,2.0,0.0
0,1936.0,3.0,0.0
0,1936.0,4.0,0.0
0,1937.0,1.0,0.0
1,1937.0,2.0,-1.0
1,1937.0,3.0,-1.0
1,1937.0,4.0,-1.0
1,1938.0,1.0,-1.0
1,1938.0,2.0,-1.0
0,1938.0,3.0,0.0
0,1938.0,4.0,0.0
0,1939.0,1.0,0.0
0,1939.0,2.0,0.0
0,1939.0,3.0,0.0
0,1939.0,4.0,0.0
0,1940.0,1.0,0.0
0,1940.0,2.0,0.0
0,1940.0,3.0,0.0
0,1940.0,4.0,0.0
0,1941.0,1.0,0.0
0,1941.0,2.0,0.0
0,1941.0,3.0,0.0
0,1941.0,4.0,0.0
0,1942.0,1.0,0.0
0,1942.0,2.0,0.0
0,1942.0,3.0,0.0
0,1942.0,4.0,0.0
0,1943.0,1.0,0.0
0,1943.0,2.0,0.0
0,1943.0,3.0,0.0
0,1943.0,4.0,0.0
0,1944.0,1.0,0.0
0,1944.0,2.0,0.0
0,1944.0,3.0,0.0
0,1944.0,4.0,0.0
1,1945.0,1.0,-1.0
1,1945.0,2.0,-1.0
1,1945.0,3.0,-1.0
1,1945.0,4.0,-1.0
0,1946.0,1.0,0.0
0,1946.0,2.0,0.0
0,1946.0,3.0,0.0
0,1946.0,4.0,0.0
0,1947.0,1.0,0.0
0,1947.0,2.0,0.0
0,1947.0,3.0,0.0
0,1947.0,4.0,0.0
0,1948.0,1.0,0.0
0,1948.0,2.0,0.0
0,1948.0,3.0,0.0
1,1948.0,4.0,-1.0
1,1949.0,1.0,-1.0
1,1949.0,2.0,-1.0
1,1949.0,3.0,-1.0
1,1949.0,4.0,-1.0
0,1950.0,1.0,0.0
0,1950.0,2.0,0.0
0,1950.0,3.0,0.0
0,1950.0,4.0,0.0
0,1951.0,1.0,0.0
0,1951.0,2.0,0.0
0,1951.0,3.0,0.0
0,1951.0,4.0,0.0
0,1952.0,1.0,0.0
0,1952.0,2.0,0.0
0,1952.0,3.0,0.0
0,1952.0,4.0,0.0
0,1953.0,1.0,0.0
0,1953.0,2.0,0.0
1,1953.0,3.0,-1.0
1,1953.0,4.0,-1.0
1,1954.0,1.0,-1.0
1,1954.0,2.0,-1.0
0,1954.0,3.0,0.0
0,1954.0,4.0,0.0
0,1955.0,1.0,0.0
0,1955.0,2.0,0.0
0,1955.0,3.0,0.0
0,1955.0,4.0,0.0
0,1956.0,1.0,0.0
0,1956.0,2.0,0.0
0,1956.0,3.0,0.0
0,1956.0,4.0,0.0
0,1957.0,1.0,0.0
0,1957.0,2.0,0.0
1,1957.0,3.0,-1.0
1,1957.0,4.0,-1.0
1,1958.0,1.0,-1.0
1,1958.0,2.0,-1.0
0,1958.0,3.0,0.0
0,1958.0,4.0,0.0
0,1959.0,1.0,0.0
0,1959.0,2.0,0.0
0,1959.0,3.0,0.0
0,1959.0,4.0,0.0
0,1960.0,1.0,0.0
1,1960.0,2.0,-1.0
1,1960.0,3.0,-1.0
1,1960.0,4.0,-1.0
1,1961.0,1.0,-1.0
0,1961.0,2.0,0.0
0,1961.0,3.0,0.0
0,1961.0,4.0,0.0
0,1962.0,1.0,0.0
0,1962.0,2.0,0.0
0,1962.0,3.0,0.0
0,1962.0,4.0,0.0
0,1963.0,1.0,0.0
0,1963.0,2.0,0.0
0,1963.0,3.0,0.0
0,1963.0,4.0,0.0
0,1964.0,1.0,0.0
0,1964.0,2.0,0.0
0,1964.0,3.0,0.0
0,1964.0,4.0,0.0
0,1965.0,1.0,0.0
0,1965.0,2.0,0.0
0,1965.0,3.0,0.0
0,1965.0,4.0,0.0
0,1966.0,1.0,0.0
0,1966.0,2.0,0.0
0,1966.0,3.0,0.0
0,1966.0,4.0,0.0
0,1967.0,1.0,0.0
0,1967.0,2.0,0.0
0,1967.0,3.0,0.0
0,1967.0,4.0,0.0
0,1968.0,1.0,0.0
0,1968.0,2.0,0.0
0,1968.0,3.0,0.0
0,1968.0,4.0,0.0
0,1969.0,1.0,0.0
0,1969.0,2.0,0.0
0,1969.0,3.0,0.0
0,1969.0,4.0,0.0
1,1970.0,1.0,-1.0
1,1970.0,2.0,-1.0
1,1970.0,3.0,-1.0
1,1970.0,4.0,-1.0
0,1971.0,1.0,0.0
0,1971.0,2.0,0.0
0,1971.0,3.0,0.0
0,1971.0,4.0,0.0
0,1972.0,1.0,0.0
0,1972.0,2.0,0.0
0,1972.0,3.0,0.0
0,1972.0,4.0,0.0
0,1973.0,1.0,0.0
0,1973.0,2.0,0.0
0,1973.0,3.0,0.0
1,1973.0,4.0,-1.0
1,1974.0,1.0,-1.0
1,1974.0,2.0,-1.0
1,1974.0,3.0,-1.0
1,1974.0,4.0,-1.0
1,1975.0,1.0,-1.0
0,1975.0,2.0,0.0
0,1975.0,3.0,0.0
0,1975.0,4.0,0.0
0,1976.0,1.0,0.0
0,1976.0,2.0,0.0
0,1976.0,3.0,0.0
0,1976.0,4.0,0.0
0,1977.0,1.0,0.0
0,1977.0,2.0,0.0
0,1977.0,3.0,0.0
0,1977.0,4.0,0.0
0,1978.0,1.0,0.0
0,1978.0,2.0,0.0
0,1978.0,3.0,0.0
0,1978.0,4.0,0.0
0,1979.0,1.0,0.0
0,1979.0,2.0,0.0
0,1979.0,3.0,0.0
0,1979.0,4.0,0.0
1,1980.0,1.0,-1.0
1,1980.0,2.0,-1.0
1,1980.0,3.0,-1.0
0,1980.0,4.0,0.0
0,1981.0,1.0,0.0
0,1981.0,2.0,0.0
1,1981.0,3.0,-1.0
1,1981.0,4.0,-1.0
1,1982.0,1.0,-1.0
1,1982.0,2.0,-1.0
1,1982.0,3.0,-1.0
1,1982.0,4.0,-1.0
0,1983.0,1.0,0.0
0,1983.0,2.0,0.0
0,1983.0,3.0,0.0
0,1983.0,4.0,0.0
0,1984.0,1.0,0.0
0,1984.0,2.0,0.0
0,1984.0,3.0,0.0
0,1984.0,4.0,0.0
0,1985.0,1.0,0.0
0,1985.0,2.0,0.0
0,1985.0,3.0,0.0
0,1985.0,4.0,0.0
0,1986.0,1.0,0.0
0,1986.0,2.0,0.0
0,1986.0,3.0,0.0
0,1986.0,4.0,0.0
0,1987.0,1.0,0.0
0,1987.0,2.0,0.0
0,1987.0,3.0,0.0
0,1987.0,4.0,0.0
0,1988.0,1.0,0.0
0,1988.0,2.0,0.0
0,1988.0,3.0,0.0
0,1988.0,4.0,0.0
0,1989.0,1.0,0.0
0,1989.0,2.0,0.0
0,1989.0,3.0,0.0
0,1989.0,4.0,0.0
0,1990.0,1.0,0.0
0,1990.0,2.0,0.0
1,1990.0,3.0,-1.0
1,1990.0,4.0,-1.0
1,1991.0,1.0,-1.0
0,1991.0,2.0,0.0
0,1991.0,3.0,0.0
0,1991.0,4.0,0.0
0,1992.0,1.0,0.0
0,1992.0,2.0,0.0
0,1992.0,3.0,0.0
0,1992.0,4.0,0.0
0,1993.0,1.0,0.0
0,1993.0,2.0,0.0
0,1993.0,3.0,0.0
0,1993.0,4.0,0.0
0,1994.0,1.0,0.0
0,1994.0,2.0,0.0
0,1994.0,3.0,0.0
0,1994.0,4.0,0.0
0,1995.0,1.0,0.0
0,1995.0,2.0,0.0
0,1995.0,3.0,0.0
0,1995.0,4.0,0.0
0,1996.0,1.0,0.0
0,1996.0,2.0,0.0
0,1996.0,3.0,0.0
0,1996.0,4.0,0.0
0,1997.0,1.0,0.0
0,1997.0,2.0,0.0
0,1997.0,3.0,0.0
0,1997.0,4.0,0.0
0,1998.0,1.0,0.0
0,1998.0,2.0,0.0
0,1998.0,3.0,0.0
0,1998.0,4.0,0.0
